,titles,companies,locations,category,emp_type,seniority,salaries,responsibilities,requirements
236,MAERSK DRILLING HOLDINGS SINGAPORE PTE. LTD.,Maintenance Data Engineer,"SOUTHPOINT, 200 CANTONMENT ROAD 089763","Permanent, Full Time",Junior Executive,Information Technology,"$4,000to$6,000","Roles & ResponsibilitiesThe Maersk Drilling Maintenance Support Group in Singapore is looking for a Maintenance Data Engineer.   We Offer:  This job provides an excellent opportunity for the right candidate to be exposed to exciting challenges and outstanding development opportunities within Maersk Drilling. Furthermore, you will work in a multi-cultural environment and engage with multiple internal and external stakeholders which will greatly enhance and further develop your skills. You will play a central role in supporting our global fleet of drilling rigs in all maintenance related matters. Our organization is characterized by engagement, professionalism, trust and drive, and creates opportunities for individual achievement through teamwork. Our working style is informal and focused; our work environment is ambitious, yet fun.   Key Responsibilities: Reporting to the Maintenance Systems Team Lead, you will be responsible for optimizing our data pipeline architecture, as well as supporting the data needs of multiple stakeholders.   Furthermore you will be responsible for:    Assembling large, complex data sets from multiple sources and compiling them into a single reporting system. Identifying and implementing internal process improvements by automating manual processes Developing reporting and dashboards for quality assurance/control of maintenance data.   Developing insightful, intelligent self-reporting tools. 	   	  ","RequirementsWe are looking for:     Bachelor’s degree in Computer Science or Information Systems. Advanced knowledge of analytical tools, including Excel (VBA, Pivot), database querying (Oracle SQL). Familiarity with different programming or scripting languages such as PL/SQL, .NET, Python will be an advantage. Expert knowledge with CMMS preferably IFS. (Or similar Systems) will be an advantage. Self-directed fast learner with the ability to learn new technical skills as needed. Highly detailed and quality oriented. Cooperative, outgoing and communicative individual High ethical standards, integrity and trustworthiness.    The candidate must be used to working in a fast-paced environment and is a team player. The candidate have a proactive mindset in order to ensure constant improvement of our rigs, our maintenance system and procedures. You are service minded and understand the role and responsibilities in support of a 24/7-365 capital intensive international operation, within a closely regulated industry.  "
237,FAIRCHILD SEMICONDUCTOR PTE. LTD.,Business Process Analyst,"TECHPOINT, 10 ANG MO KIO STREET 65 569059",Permanent,Professional,Others,,"Roles & ResponsibilitiesPrimary Role Work with customers, sales and the Service Review Board to define, recommend, and implement B2B/EDI and service offerings that enable operational efficiencies and/or increased market share for ON Semiconductor.   The Analyst must also provide overall Forecast Management System (FMS) process maintenance and program support for existing and new service program setups, coordinate and prioritize software and report changes, develop training material, global coordination of FMS activities, and configuration management of FMS.   Responsibilities  Provide superior customer service Provide supply chain and subject matter expertise to customers, sales and the service program review board in order to recommend and implement EDI and service programs to meet customer expectations. Project manage the implementation of EDI and service programs utilizing cross-functional teams- establish banks, logistic flows, customer codes, miscellaneous guts table entries, FMS and EDI settings and maintaining the project plan document. Ensure our Service Engagement processes support the changing requirements of our customers. Work with EDI Information Technology (IT) team for new EDI/service program implementations, general troubleshooting and backlog prioritization. Work with the Service Program Operations Team to review service programs, make recommendations where service programs are not meeting customer and/or ON Semiconductor objectives and project manage service program closures or changes. Coordinate with regional counterparts on Service Engagement and FMS for purposes of communication, information sharing, prioritization of FMS software changes, resource prioritization (where shared resources are involved), and continuous improvement. Interface with Service Program Operations and Logistics as required to support new service program processes and logistics partners.  This may also include interface with Supply Management. Interface with Logistics for customer bar code label and other non-standard logistics customer requirements. Overall FMS process maintenance—general troubleshooting and documented procedures Configuration management for FMS.  Focal point for any configuration changes in these systems (signoff/approval authority).  Maintain recommended settings reference documents for these systems. Provide specific service program training or subject matter expertise as needed.  Work with Customer Specialists and Service Program Analysts on new EDI and/or Service Program implementations. Manage and/or participate in key projects as determined by manager. Quality System compliance ","Requirements Bachelor degree in relevant discipline Minimum 3 years of work experience EDI/B2B Knowledge a plus Supply Chain background a plus Understanding of order to cash business processes and ability to assess/define business requirements/rules Strong Computer Skills Ability to Multi-Task Solid Communication skills, both written and verbal Strong analytical skills "
238,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,"Assistant Vice President, Information Management","HSBC BUILDING, 21 COLLYER QUAY 049320",Full Time,Professional,Banking and Finance,"$6,000to$8,000","Roles & ResponsibilitiesSome careers have more impact than others. If you’re looking for a career where you can make a real impression, join HSBC and discover how valued you’ll be.   Customer Value Management is vital in maintaining HSBC’s position as a provider of world-class retail banking and wealth management solutions, directing business development with a focus on customers. The team works to ensure the most appropriate pricing, products and promotions are directed to the most relevant customers, concentrating on building value, treating customers fairly and creating a superb customer experience.   We are currently seeking a high caliber professional to join our team as Assistant Vice President, Information Management.   Principal responsibilities  ​Employ various programming languages or Business Intelligence tools of different utility to integrate and manipulate data from information systems such as data warehouses, datamarts, system master files and external data Manage business requirements and make recommendations and facilitates consensus regarding the appropriate data sources, business rules, end deliverable content or format and delivery mechanism to meet their requirements Support and maintain the data infrastructure with proper data quality controls to maintain the credibility of the data Design, develop and deliver timely management information reports, business performance dashboards, business intelligence solutions and regulatory reporting to fulfill the business need under considerable deadline pressure Implement customer acquisition, retention campaigns and event based targeting strategies and campaigns across all channels and track their success ","RequirementsRequirements  ​Bachelor degree in Business, Computer Science, Mathematics, Statistics or related field and relevant working experience on information management, campaign management and or data management in the banking industry Knowledge on data modelling and data warehousing concept and experience in office automation and dashboard design Independent and self-motivated individual who can deliver quality work under challenging timelines Strong analytical, problem solving and interpersonal skills  Proficient in SQL and SAS programming Experience in Teradata, Hadoop, Cognos, SAS Visual Analytics, Tableu, QlikSense, VBA would be an advantage    You’ll achieve more when you join HSBC.   HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website."
239,NATIONAL UNIVERSITY OF SINGAPORE,Research Assistant in Computational Biology,21 LOWER KENT RIDGE ROAD 119077,Full Time,Professional,Sciences / Laboratory / R&D,"$3,500to$4,100","Roles & ResponsibilitiesThe National University of Singapore invites applications for the position of Research Assistant in the Department of Computer Science, School of Computing (SoC). SoC is strongly committed to research excellence in all its dimensions: Searching for fundamental results and insights, developing novel computational solutions to a wide range of applications, building large-scale experimental systems and improving the well being of society. We seek to play an active role both internationally and locally in the core and emerging areas of Computer Science and Information Systems. The Research Assistant will be responsible for working closely with the Principal Investigator and lab members on one or more research projects. The research projects are related to computational biology. He/she should possess experience or interest in at least one of the following research areas:  Algorithm Artificial Intelligence Computational Biology ",Requirements A Bachelor's degree or a Master's degree in a relevant area; Good publication record; Experience in research; and Interested in biology or medical research (but knowledge in biology is not a must). 
240,Company Undisclosed,Solutions Architect - Digital Technologies,,"Permanent, Full Time","Manager, Executive",Information Technology,,"Roles & Responsibilities​Our Client is an established company in Singapore, who is seeking to recruit a Solutions Architect - Digital Technologies.   Solutions Architect - Digital Technologies   You will be responsible for challenging the status quo, and bringing innovative and differentiated thinking to everything we do. You will lead cross domain projects working with business stakeholders and providing solutions using and assessing emerging technologies.   As a lead you will be providing business and technical solutions in order to deliver results that will make an impact. You must have experience in complex B2B integrations and able to work with testers and operations to ensure that solutions are of high quality and can be operated easily. This is a hands-on technical role, mentoring others with your knowledge. To be considered for this position, you will have a broad understanding of industry trends and emerging technologies as well as a proven track record of delivering challenging projects.   You have experience with building and deploying with AWS or cloud type environment and have been worked in a fully automated environment. You have worked in a continuously BAU environment and understand how to deliver a system that can be supported and maintained.   You can work in an agile environment, and have done test driven development. You are a stickler for quality and good design, but understand the importance of delivering business value early. You can design an incremental software development plan that can fit into a continuous delivery cycle. You understand the value of test driven development, continuous integration, continuous deployment, and regression test coverage.   Responsibility:    Delivering New Application Solution and Design Business engagement – Demand management, requirements analysis, acts as a product owner and prioritize backlog Hands on Development on frameworks Mentor and leading team Subject matter expert in any one of these domains – E/M-Commerce, Customer / Partner relationship management Define system-level application architecture that includes high-level design, architectural policies and principles, design and programming guidelines, implementation risks and mitigation measures, software development and integration strategies, software configuration controls, etc Maintain control over the solution throughout the entire software development lifecycle by continuously making critical adjustments to the solution to ensure desired results are achieved Involve in requirement analysis phase to ensure the implementation feasibility of functional specifications. Highlight requirement gaps, disproportional construction efforts, technical challenges and any other issues to business analyst teams Provide technical leadership in the development through established design and development methodologies, to ensure system meets functional and system requirements Engage customers to explain the rationale of architecture’s selection, or other technical issues Ensure best practices, frameworks and re-useable components are employed in the development project Understand Information Security standards, methodologies and practices. Design and deliver complex security solutions that integrate an effective and efficient network infrastructure design. Develop and strengthen new and existing Stakeholder & Partnership relationships. Trouble-shoot technical problems faced by the project team. Contribution to organizational development thru sharing best practices. Developing and conducting technical courses. Coach, train and mentor junior architects Be involved in pre-sale activities as solution architect ","Requirements Degree in Information Technology, Computer Science, or its equivalent. Degree in Computer Science and Engineering At least 8 years’ experience with substantial project work in software design & development Experience in designing solutions using appropriate platforms and system technologies such as enterprise database design, web and application server and network technologies Experience in payment or billing related system is good to have. Ability to lead, develop and maintain respectful and trusting relationship; Proficient in written and spoken English Able to travel as required Good working knowledge of Amazon Cloud Services such as EC2, EBS, S3, ELB, ElasticCache, CloudFront, Route53, RDS, Kinesis, DynamoDB, etc Adequate knowledge of relational database systems, Object Oriented Programming and web application development. Good knowledge in Java technology and its related framework or technologies. Practical knowledge in Agile and DevOps environments, open source technologies and related tools. Knowledge/Experience in Continuous Integration and Automated Testing Knowledge/Experience in Agile Development and Management tools, e.g. Jira, Nexus, Bamboo, Jenkins, Sonar, Selenium, Bitbucket      JJ Consulting Services EA Licence No.: 12C6207   Applicants are invited to send in a MS Word resume to jobs@jjconsulting.com.sg stating position applying for/present/expected salaries and earliest available date.  We thank all applicants in advance and regret that only short listed candidates will be notified."
241,KERRY CONSULTING PTE. LTD.,Business Analyst (Retail),"SUNTEC TOWER FOUR, 6 TEMASEK BOULEVARD 038986","Permanent, Full Time",Senior Executive,Accounting / Auditing / Taxation,"$4,500to$5,000","Roles & Responsibilities• Business partnering role • Regional coverage • High visibility  An employer of choice, this well known retailer is looking to hire a Business Analyst for their team based in Singapore.  This is a highly visible role where you will work closely with senior business leaders and provide decision support to drive strategic plans and improve business performance. You will be actively involved in management reporting, budgeting, forecasting and also work closely with a shared service team.  ","RequirementsYou are a qualified CA with at least 3 years of experience in FP&A and accounting, ideally gained with retailers. You are well versed in accounting standards and have good business acumen. To succeed in this role, you will be described as adaptable, collaborative and pro-active.  To apply, please submit your resume (in MS Word format) to Lee Hwee Ling at hl@kerryconsulting.com, quoting the job title and reference number HL 14218. We regret that only successfully shortlisted applicants will be contacted.  Registration No: R1872254   Type of Work: Permanent Region: Singapore Licence No: 16S8060"
242,ICON OUTSOURCING,Triple A Developer,,Full Time,Senior Executive,Information Technology,"$10,000to$11,500","Roles & ResponsibilitiesOur client a reputable bank is looking out to hire a Triple A Developer.  The Triple A IT analysts is responsible for analysis, development for its Portfolio Management Solution and Order Management systems. The solution is built around Temenos portfolio management product(Triple'A). As a team member, the staff will have to : -     Develop and deploy  the core version of AAA application and its related projects  -     Work with business analyst team (thus translating the requirement into the system) -     Design, develop and perform test campaigns (business logics, interfaces).","RequirementsTechnical skills: Oracle, Sybase Triple’A Scripting and system set up (Preferred) Strong application development Qualifications/Experience: Degree with minor in Computer Science 5 years experience in the private banking or asset management industry preferably (investment banking experience can also be considered) Strong development experience Strong analytical skills Structured way of doing development Strong communication skills Willing to pick up Triple A Well structured in the daily work Good communication skills Good team player"
243,AMARIS CONSULTING PTE. LTD.,IDENTITY & ACCESS MANAGEMENT BUSINESS ANALYST,"ROBINSON 112, 112 ROBINSON ROAD 068902",Permanent,Junior Executive,Banking and Finance,,"Roles & ResponsibilitiesThe Junior IAM Analyst will be part of a team rolling out the established Business Roles strategy in APAC under the leadership of Senior Analysts. The work will involve stakeholder engagement, business analysis, deployment of the agreed model, and delivering of clear reporting to management.   You assist stakeholders in understanding the challenges and functional benefits of implementing Business Profiles for role-based access You endeavor to meet key regulatory and TRM guidelines as applied to Access Management (especially HKMA and MAS) You contribute in maintaining quality of reference data and inventories used as part of IAM processes You manage requirements and risks in a global/regional/local set-up and with cross-border access to applications and data You set up and conduct meetings and workshops with business and functions representatives in order to document business scenarios and prepare the roll-out of Business Roles You perform functional testing and obtain required sign‐off in order to guarantee a robust solution is delivered You escalate risks and issues to stakeholders and management, and you propose and execute mitigation plans You contribute to the production of IAM KPI, KRI, and dashboards, including for Steering Committee meetings You help maintain project and BAU documentation You contribute to the training of end-users using available training material ","Requirements Around 2-3 years of experience as a BA You have acquired practical experience of IAM through your work, and your may also hold one or more security certifications Previous experience in an international bank is preferred but not mandatory You have excellent time management and are able to multi-task You have perfect mastery of English, you have outstanding interpersonal skills and are comfortable engaging with senior stakeholders over the phone and face-to-face "
244,AIA SINGAPORE PRIVATE LIMITED,Technical Analyst,"AIA TOWER, 1 ROBINSON ROAD 048542",Permanent,Professional,"Information Technology, Insurance","$6,000to$9,000","Roles & Responsibilities Ensure that all application development performed is in-line with the Software Development Life Cycle (SDLC) and IT Governance & MAS requirements Manage and address incidents and queries from users Ensure quality checks on risk management for application development deliverables Act as ""intermediary"" between Business Analyst and Developers including translating business requirement into functional specification, etc. Responsible for management updates on system related activities Understand functionalities and technical aspects of the system; analyze technical impact on interfacing systems Provide system design solution, development of system design and technical documents Programming and perform codes review Provide production support for batch cycles ","Requirements Degree in IT or related areas Minimum 5 years of working experience in application development in insurance or banking &   financial industry Knowledge in either mainframe, AS400, COBOL, Control Language and SQL development Prior experience in LIFE/Asia (former Life/400) development is essential PMP certified would be added advantage Strong analytical ability and excellent communication skill "
245,Company Undisclosed,MCT BE Automation PCS Engineer,,"Permanent, Full Time",Non-executive,"Engineering, Manufacturing","$4,000to$8,000","Roles & ResponsibilitiesJob Description As a Backend Manufacturing Central Teams Process Control Systems (PCS) Engineer, you will be responsible for developing, maintaining and improving Fault Detection and Classification (FDC) and Run To Run (R2R) process control strategies at our manufacturing facilities across backend operations. You will work with global teams to provide direction and assistance with process control functions.  You will help to coordinate and implement process control systems across multiple international facilities that reduce scrap, prevent excursions, and improve process margins and yields, thereby reducing manufacturing costs.  It is highly desirable that the applicant has experience implementing and maintaining FDC and R2R control solutions in semiconductor manufacturing operations.  Experience in using machine learning and statistical techniques to create state-of-the-art data products (decision support and decision automation data systems), utilizing extensive and diverse Big Data sets is a plus. Responsibilities and Tasks (include, but not limited to): •Develop and integrate new FDC and R2R control algorithms into backend manufacturing process areas •Implement standards and business processes for FDC and R2R Control Systems for backend semiconductor manufacturing: •Identify dependencies for FDC and R2R control solutions •Implement, maintain and improve established standards •Test and implement control system changes and improvements •Measure manufacturing sites’ performance and compliance to company standards and industry benchmarks •Manage the implementation of controlled modifications using Change Management methodologies, from network support and direction drive perspective. Support the manufacturing sites on: •Deployment and on-going maintenance of FDC strategies (data collection, statistical models, limits, out of control actions, etc.) in an effort to minimize risks of excursion, and product scrap •Troubleshoot strategy/tool/system related issues, including proper documentation, escalation, and follow-up to completion •Monitor strategy performance and effectiveness and identify opportunities for improvement •Identify and implement FDC and R2R strategy best known methods (BKM) for excursion/scrap prevention. Review and align control strategies and procedures with global sites PCS counterparts •Engage with global stakeholders to explore, analyze and promote the use of FDC data •Work with Information Technology (IT) and Global Manufacturing Teams and Suppliers to drive improvements in data collection and automation capabilities, including tool feedback and control •Understand and Maintain System Dependencies •Evaluate and monitor user lists for program access in compliance with established product integrity, security, and intellectual property rights’ protection standards •Facilitate FDC and R2R global projects and activities •Coordinate FDC and R2R tasks and activities involving integration to various backend software and automation systems •Project Planning •Act as a liaison between Information Technology, production area management, and engineering management in matters concerning FDC and R2R •Anticipate or diagnose automation issues across multiple equipment types within a given manufacturing area •Define and deploy projects that have impact on a global scale •Organize and execute project plans efficiently and effectively •Cost Reduction  •As a Team Member, you are responsible for reducing costs associated with your area. This responsibility may include owning and completing cost reduction projects, identifying cost effective sustaining/manufacturing improvements, minimizing regular expenditures, and helping to promote a cost-conscious culture •Ensure that effective requirements, standards and procedures exist for functional areas and sites to accomplish given manufacturing operations •Provide direction on the facilitation of the practical application of FDC and R2R within Backend Manufacturing environment •Work with global teams such as Global Quality, Site Quality teams, Manufacturing Central Teams, and IT to assess the compliance of functional areas and sites to global standards •Ensure all business needs are properly documented, validated, and escalated as needed •Analyze findings and assess potential problems and risks within functional areas and sites •Compile and issue formal reports detailing findings, potential problems, recommend solutions •Follow up on action items to ensure solutions/corrective actions are implemented •Ensure process control solutions and corrective actions are aligned throughout the backend manufacturing ne •Ensure BKM sharing and alignment spans across all functional areas and sites regardless of technology and/or site mission differences •Facilitate and maintain world class data analysis skill sets and tools for engineering efficiency to support data driven decisions by engineers •Provide tactical support to the manufacturing sites as required for issues of yield and quality, working with other peer groups Program Management: •Able to multitask and adapt to changing priorities •Demonstrate ability to move projects effectively through project lifecycle – initiate, plan, execute, and close – while balancing time, cost, quality, scope and risk / opportunity constraints •Motivate stakeholders and all project team members to take ownership of project and its success •Direct and coordinate the activities of others to accomplish project tasks successfully •Prioritize and manage multiple conflicting projects based on backend and corporate objectives •Lead cross-functional initiatives and enable projects that support company objectives •Develop and implement metrics for benchmarking Performance.  Identify and share BKMs across departments and sites and track compliance in aligning to BKM’s   Communication:  •Communicate and respond to issues in a timely manner •Use active listening skills to effectively communicate with other team members •Express ideas and issues in an organized, effective, and respectful manner •Use voice, tone, and body language to enhance communication •Written communication is complete, concise, grammatically correct, and appropriate for the audience •Invite feedback for clarification and self-improvement •Demonstrate cultural sensitivity - Show respect for different cultures and languages; learn to pronounce names correctly; speak English slowly and clearly when interacting with non-native English speakers; invite feedback to ensure others understand •Use conference call etiquette and enforce during all meetings •Be an active participant in all group discussions, meetings, etc… (internal and external) •Flexible and accommodating but willing to voice opinions and make recommendations","RequirementsEducation Required •Minimum B.S. degree in Statistics, Mathematics, Computer Science, Physics, or related Engineering degree   Experience Required •Minimum 3 years of experience in semiconductor industry applying a variety of statistical methods, including process control and/or metrology •Experience in developing and management of FDC and/or R2R control solutions in semiconductor manufacturing •Experience with R, JMP, and/or other statistical software including scripting capability for automating analyses"
246,KELLY SERVICES (SINGAPORE) PTE. LTD.,BAU Analyst and Support,"ASIA SQUARE TOWER 1, 8 MARINA VIEW 018960",Contract,Fresh/entry level,Information Technology,"$5,000to$7,500","Roles & ResponsibilitiesWe are seeking a highly motivated candidate for the position of Functional/Systems Analyst.   Candidate will be part of the dynamic team that undertake BAU responsibilities in supporting  Payment System.   Responsibilities:   •           Manage service requests and support applications related queries. •           Work with users and vendors on issues, resolution and follow up in the timely manner •           To investigate and resolve incidents as well as perform root cause analysis. •           Manage and follow up the problems with the vendors and make sure the problems are eventually resolved. •           Work with vendors to understand and apply hotfixes with proper test management cycle until production deployment •           Work with business user on requirements, gathering, testing and implementation of system enhancements    ","RequirementsQualification:   •           At least 1-4 years of experience •           Experience in system development, integration and implementation •           Experienced in working with different teams on medium to complex regional channel systems will be an advantage. •           Possesses system support or development experience with knowledge on the following will be an advantage: a)         Technical knowledge J2EE, Oracle, SQL, Unix/Linux, Web application development, IBM MQ b)         3 tier application architecture c)         Payment domain-related systems (SWIFT, ISO20022,etc)"
247,THOUGHTWORKS PTE. LTD.,Senior Data Engineer,"CHINA SQUARE CENTRAL, 18 CROSS STREET 048423",Full Time,Professional,"Consulting , Information Technology","$5,700to$11,200","Roles & ResponsibilitiesSingapore, SingaporeThoughtWorks Singapore is looking for talented engineers passionate about building large scale data processing systems to help manage the ever-growing information needs of our clients.   You will be responsible for -   Creating complex data processing pipelines, as part of diverse, high energy teams Designing scalable implementations of the models  Hands-on programming based on TDD, usually in a pair programming environment Deploying data pipelines in production based on Continuous Delivery practices Advising clients on the usage of different distributed storage and computing technologies from the plethora of options available in the ecosystem ","RequirementsIdeally, you should have -   5+ years of experience building and deploying large scale data processing pipelines in a production environment Production-level hands-on experience working on HDFS, Java MapReduce, Hive, Apache Spark, Oozie etc. Solid understanding of YARN, Mesos, MPP Databases, SQL-on-Hadoop solutions like Impala etc. Experience working with, or an interest in Agile Methodologies, such as Extreme Programming (XP) and Scrum Knowledge of software best practices, like Test-Driven Development (TDD) and Continuous Integration (CI) Strong communication and client-facing skills with the ability to work in a consulting environment is essential Senior developers (7+ years) are expected to be the Architect for small and large enterprise projects. On larger projects, you are expected to work closely with the fellow architects to come up with the architecture and take it further. Desire to contribute to the wider technical community through collaboration, coaching, and mentoring of other technologists  If you relish the idea of being part of a community that extends beyond the work we do for our customers, you may find ThoughtWorks is the right place for you. If you share our passion for technology and want to help change the world with software, we want to hear from you! To apply, please submit your CV and tell us why you want to join ThoughtWorks. We will ask you to write code as part of your interview process, so be prepared! Our recruiters will be in touch."
248,NATIONAL UNIVERSITY OF SINGAPORE,"Research Associate in Dept of Physiology, NUS (Prof H Yu's Lab)",21 LOWER KENT RIDGE ROAD 119077,Full Time,Professional,Sciences / Laboratory / R&D,"$3,400to$5,100","Roles & Responsibilities Analyse and process biological sample images Write algorithm for image processing and machine learning-based modelling Train staff/students in experimental techniques, image acquisition, image processing, algorithm writing Analyse biological, biochemical and pharmaceutical samples and interpret data using common software in the field Attend to safety matters in laboratory Laboratory management (procurement, housekeeping)   ","Requirements MSc in Biomedical Engineering, Computational Science,  or similar fields from highly reputable universities or institutes Ability and willingness to work in interdisciplinary projects Basic knowledge in cellular and molecular biology and pharmacology is preferred Strong competency in data science and machine learning-based languages Proficient in Matlab, ImageJ and Python Good team player and willing to learn Good communication and interpersonal skills Interest in pursuing a research career Comfortable with handling mice "
249,NANYANG TECHNOLOGICAL UNIVERSITY,Project Officer,"NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798","Contract, Full Time",Professional,"Engineering, Sciences / Laboratory / R&D","$3,200to$4,200",Roles & ResponsibilitiesEnergy Research Institute @ NTU is currently looking for a candidate to join them as a Project Officer.  Integrate autonomous functionality based on Robot Operating System (ROS) Develop time-sensitive machine-learning based algorithms for autonomous vehicles. Optimization of Sensor Placement in AV’s Autonomous fleet management robotic systems designs   ,Requirements Candidate must possess at least a Bachelor’s degree in engineering. Hands-on experience in ROS based autonomous systems is essential. Experience in machine-learning based algorithm design would be an added advantage. 
250,HITACHI EBWORX INTERNATIONAL PTE. LTD.,Senior Mobile Engineer,,Permanent,Professional,Information Technology,"$3,000to$4,000","Roles & Responsibilities• Provide leadership on delivery lifecycle – analyze, design, build, deploy, test, release & support • Responsible and accountable for technical design and deliverables • Support Business Analyst team as functional & technical advisor • Support Project Manager closely on project implementation • Provide mentoring and leadership to team members • Ensure all codes produced are fit for purpose and meet the expected quality • Ensure deliverables adhere to organization’s development guidelines & standards","Requirements• Degree in Computer Science / Software Engineering or equivalent • At least 5 years of working experience in web / mobile application development • Highly proficient in Bootstrap or other major mobile application framework • Extensive experience in web technologies (E.g. HTML5, CSS3, JSON, AngularJS, Ajax, JavaScript, JQuery, JQuery Mobile, Node.js, XML, SOAP/RESTful web services, etc.) • Broad and in-depth understanding about SDLC processes and methodologies • Domain knowledge in financial industry is a strong plus • Highly independent, strong self-initiative, keen learner with leadership qualities • Proficient in English with good communication and interpersonal skills • Proven ability in problem solving and decision making • Able to accept challenges and cope with demanding timeline • Willing to travel and accept overseas assignment"
251,CANOPY PTE. LTD.,Business Analyst,"MANHATTAN HOUSE, 151 CHIN SWEE ROAD 169876","Permanent, Full Time",Executive,"Banking and Finance, Information Technology, Others","$3,000to$5,000","Roles & ResponsibilitiesCanopy (https://canopy.cloud) is a Singapore based fintech that offers a next generation account aggregation, portfolio analytics and client reporting platform for high net-worth individuals and wealth professionals. We are a B2B player and we collaborate with private banks, family offices, external asset managers, trust companies and other private wealth institutions. As a data processing & visualization company, Canopy is extracting financial information from bank statements, processing and translating the data to provide valuable insights to high networth individuals and financial advisors. Our Product Development Team designs and delivers attractive and high performing products to our global partners and clients. We are looking for a Business Analyst to join the Product Development Team. The successful candidate should be excited about working with data, be driven to dive deep, and passionate about collaborating with Management, other Business Analysts, Business, and Technology teams. Good knowledge on financial products and market data, with business analysis experience across entire development cycle are also required. The candidate must be able to critically evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, and distinguish user requests from the underlying true needs.","RequirementsKey Roles and Responsibilities  Act as a liaison between departmental end-users and technology teams in the analysis, design, configuration, and testing to ensure optimal operational performance Evaluate business processes, anticipate requirements, uncover areas for improvement, and develop and implement solutions Design logical data models based on business requirements in order to determine the completeness of the information and process components Stay up-to-date on the latest process and IT advancements to automate and modernize systems Effectively communicate your insights and plans to cross-functional team members and management Track and fully document changes for functional and business specifications; write detailed universally understood documents for permanent records and for use in training. Manage competing resources and priorities Monitor deliverables and ensure timely completion of projects Create and execute test plans and coordinate both System Integration Testing and User Acceptance Test Identify obstacles, proactively mitigate risks and escalate issues effectively Support in the Business-As-Usual activities and ensure that users requirements and requests are delivered timely, accurately and successfully Provide appropriate post implementation support; provide assistance in training, mentoring, and coaching departmental end-users.    Requirements  A degree or master in Finance or related field At least 2-year experience as Business Analyst within banking or financial services Good knowledge on financial products and market data Great with numbers and strong analytical skills Excellent interpersonal skills, with the ability to communicate complex data issues correctly and clearly to both internal and external customers Excellent documentation skills Ability to influence stakeholders and work closely with them to determine acceptable solutions. Advanced Microsoft Office skills, particularly Excel and analytical platforms SQL skill and experience in joining/cleansing datasets from multiple sources are preferred "
252,CITIBANK N.A.,O&T - Data Analyst Lead - 18035524,,Full Time,Senior Management,Banking and Finance,"$10,000to$17,500","Roles & Responsibilities You will interface with our business partners in decision management functions to mature use cases, identify solutions and help implement solutions iteratively using agile methodologies You will engage within the technology organization to integrate and embed analytic capabilities to enhance products and customer experience You will partner with  architects and the Business Intelligence organization to assemble capabilities into platforms that can address a variety of analytical needs You will represent yourself as an expert, but equally rely on others to support you as a team  Serve as mentor and coach to junior resources and other teams Apply deep analytical skills to explore complex datasets to aid in knowledge discovery and predictive modeling activities Assist our business data science teams in developing tools, metrics, and systems to analyze large-scale internal and external data to identify opportunities to improve product offering and marketing Maintain knowledge of emerging trends related to analytics, data management, statistical computing/machine learning, business intelligence, data visualization, etc Manage the development and execution of predictive analytics and machine learning models for a variety of applications, from predicting customer behavior to creating recommendation engines for the marketplace Design, coordinate, and implement analytical business and technology solutions to support business strategy Drive the day-to-day implementation of the analytical strategy Determine data needed to be collected and the appropriate data resources for specific projects  To apply online via the careers section of Citi E career website, please click via the link below: https://citi.taleo.net/careersection/2/jobdetail.ftl?lang-en&job=18035524","Requirements BA/BS degree required, advanced degree is preferred in Computer Science/Statistics or related field with 10+ years of data analytics experience Experience in quantifying and monetizing data platforms Ability to influence others to adopt new ways of thinking, change habits and improve processes Ability to translate complex technical topics into easy to understand concepts Experience developing processes to govern analytics development life cycle Demonstrated track record of success in delivering advanced analytics capabilities Direct experience in implementing data management processes, procedures, data quality management, and decision support Experience leveraging next generation tools and techniques such as Hadoop, Machine Learning, MapReduce, Spark, Python, R to build deployable analytical solutions Working knowledge of data mining, statistical analysis and machine learning concepts, with the ability to apply them to make better decisions, find hidden patterns, and predict outcomes Experience managing and working in an agile environment using agile tools and practices Experience building out and managing an organization's data capabilities, including staff, tools, and processes is a plus Strong written and verbal communication and presentation skills Experience working in a banking / financial services / fintech / retail environment is a plus "
253,Company Undisclosed,"Applied Research Engineer, Computer Vision and Deep Learning",,Full Time,Professional,Information Technology,"$5,000to$7,000","Roles & Responsibilities Develop novel and accurate visual search and recognition systems, leveraging deep learning and machine learning Analyze and improve the efficiency, scalability, and stability of various production systems Collaborate with team members from the level of prototyping to the level of production Patent drafting for the development of the technology ","Requirements Advanced degree in Computer Science with publications in the fields of machine learning/deep learning or computer vision Extensive programming experience in C++ and strong OO design skills At least 3 years of experience in building large-scale computer vision projects from the level of researching a prototype to the level of production Experienced with training deep neural networks, prototyping in scripting languages like python, MATLAB math performance libs (e.g. IPP, MKL) "
